"Reference","doi","Date"
"Leith, W. M., Zeegers, M. P., & Freeman, M. D. (2024). A predictive model for perinatal hypoxic ischemic encephalopathy using linked maternal and neonatal hospital data. Annals of Epidemiology, 89, 29–36. https://doi.org/10.1016/j.annepidem.2023.11.011","10.1016/j.annepidem.2023.11.011",2024-01-01
"Bruinhof, N., Sehic, E., Hancock, G. R., Gartstein, M. A., & de Weerth, C. (2024). Prenatal anticipatory stress: Baby preparation and worry scale-revised in the Dutch context. Comprehensive Psychiatry, 128, 152437. https://doi.org/10.1016/j.comppsych.2023.152437","10.1016/j.comppsych.2023.152437",2024-01-01
"Spann, M. N., Alleyne, K., Holland, C. M., Davids, A., Pierre-Louis, A., Bang, C., Oyeneye, V., Kiflom, R., Shea, E., Cheng, B., Peterson, B. S., Monk, C., & Scheinost, D. (2023). The effects of experience of discrimination and acculturation during pregnancy on the developing offspring brain. Neuropsychopharmacology, 49(2), 476–485. https://doi.org/10.1038/s41386-023-01765-3","10.1038/s41386-023-01765-3",2024-01-01
"Hamilton, O. S., Iob, E., Ajnakina, O., Kirkbride, J. B., & Steptoe, A. (2024). Immune-neuroendocrine patterning and response to stress. A latent profile analysis in the English longitudinal study of ageing. Brain, Behavior, and Immunity, 115, 600–608. https://doi.org/10.1016/j.bbi.2023.11.012","10.1016/j.bbi.2023.11.012",2024-01-01
"Guzman, J. M., Boone, M. H., Suarez, G. L., Mitchell, C., Monk, C. S., Hyde, L. W., & Lopez-Duran, N. L. (2024). Relationship between COVID-related stressors and internalizing symptoms: Gendered neuroendocrine risk profiles. Psychoneuroendocrinology, 159, 106668. https://doi.org/10.1016/j.psyneuen.2023.106668","10.1016/j.psyneuen.2023.106668",2024-01-01
"Rosenberg, J. B., Richardt Møllegaard Jepsen, J., Mohammadzadeh, P., Sevelsted, A., Vinding, R., Sørensen, M. E., Horner, D., Aagaard, K., Fagerlund, B., Brix, S., Følsgaard, N., Schoos, A.-M. M., Stokholm, J., Chawes, B., Pantelis, C., Dalsgaard, S., Glenthøj, B. Y., Bilenberg, N., Bønnelykke, K., & Ebdrup, B. H. (2024). Maternal inflammation during pregnancy is associated with risk of ADHD in children at age 10. Brain, Behavior, and Immunity, 115, 450–457. https://doi.org/10.1016/j.bbi.2023.10.023","10.1016/j.bbi.2023.10.023",2024-01-01
"Aronoff, J. E., McDade, T. W., Adair, L. S., Lee, N. R., Carba, D. B., MacIsaac, J. L., Dever, K., Atashzay, P., Kobor, M. S., & Kuzawa, C. W. (2024). Socioeconomic status is negatively associated with immunosenescence but positively associated with inflammation among middle-aged women in Cebu, Philippines. Brain, Behavior, and Immunity, 115, 101–108. https://doi.org/10.1016/j.bbi.2023.10.003","10.1016/j.bbi.2023.10.003",2024-01-01
"Bahji, A., Hathaway, J., Adams, D., Crockford, D., Edelman, E. J., Stein, M. D., & Patten, S. B. (2023). Cannabis use disorder and adverse cardiovascular outcomes: A population‐based retrospective cohort analysis of adults from Alberta, Canada. Addiction, 119(1), 137–148. Portico. https://doi.org/10.1111/add.16337","10.1111/add.16337",2024-01-01
"Backhouse, E. V., Boardman, J. P., & Wardlaw, J. M. (2024). Cerebral Small Vessel Disease: Early-Life Antecedents and Long-Term Implications for the Brain, Aging, Stroke, and Dementia. Hypertension, 81(1), 54–74. https://doi.org/10.1161/hypertensionaha.122.19940","10.1161/HYPERTENSIONAHA.122.19940",2024-01-01
"Rappaport, B. I., Kujawa, A., Arfer, K. B., Pegg, S., Kelly, D., Jackson, J. J., Luby, J. L., & Barch, D. M. (2023). Behavioral and psychiatric correlates of brain responses to social feedback. Psychophysiology, 61(1). Portico. https://doi.org/10.1111/psyp.14413","10.1111/psyp.14413",2024-01-01
"Tang, R., Elman, J. A., Dale, A. M., Dorros, S. M., Eyler, L. T., Fennema-Notestine, C., Gustavson, D. E., Hagler, D. J., Lyons, M. J., Panizzon, M. S., Puckett, O. K., Reynolds, C. A., Franz, C. E., & Kremen, W. S. (2023). Childhood Disadvantage Moderates Late Midlife Default Mode Network Cortical Microstructure and Visual Memory Association. The Journals of Gerontology: Series A, 79(1). https://doi.org/10.1093/gerona/glad114","10.1093/gerona/glad114",2024-01-01
