"Reference","doi","Date"
"Aronoff, J. E., McDade, T. W., Adair, L. S., Lee, N. R., Carba, D. B., MacIsaac, J. L., Dever, K., Atashzay, P., Kobor, M. S., & Kuzawa, C. W. (2024). Socioeconomic status is negatively associated with immunosenescence but positively associated with inflammation among middle-aged women in Cebu, Philippines. Brain, Behavior, and Immunity, 115, 101–108. https://doi.org/10.1016/j.bbi.2023.10.003","10.1016/j.bbi.2023.10.003",2024-01-01
"Rappaport, B. I., Kujawa, A., Arfer, K. B., Pegg, S., Kelly, D., Jackson, J. J., Luby, J. L., & Barch, D. M. (2023). Behavioral and psychiatric correlates of brain responses to social feedback. Psychophysiology, 61(1). Portico. https://doi.org/10.1111/psyp.14413","10.1111/psyp.14413",2024-01-01
"Kling, J. L., & Brooker, R. J. (2023). Socioeconomic Status Moderates Neural Markers of Cognitive Reappraisal Across Preschool. Biological Psychology, 108738. https://doi.org/10.1016/j.biopsycho.2023.108738","10.1016/j.biopsycho.2023.108738",2023-12-22
"Dipnall, J. F., Lyons, J., Lyons, R. A., Ameratunga, S., Brussoni, M., Lecky, F. E., Beck, B., Schneeberg, A., Harrison, J. E., & Gabbe, B. J. (2023). Impact of an injury hospital admission on childhood academic performance: a Welsh population-based data linkage study. Injury Prevention, ip-2023-045027. https://doi.org/10.1136/ip-2023-045027","10.1136/ip-2023-045027",2023-12-19
"Varga, Z., Andorka, C., Pataki, M., Meder, U., Szakmar, E., Szabo, A. J., Szabo, M., & Jermendy, A. (2023). Higher parental education was associated with good cognitive outcomes in infants with hypoxic‐ischaemic encephalopathy. Acta Paediatrica. Portico. https://doi.org/10.1111/apa.17058","10.1111/apa.17058",2023-12-18
"Chen, G., McKay, N. S., Gordon, B. A., Liu, J., Joseph-Mathurin, N., Schindler, S. E., Hassenstab, J., Aschenbrenner, A. J., Wang, Q., Schultz, S. A., Su, Y., LaMontagne, P. J., Keefe, S. J., Massoumzadeh, P., Cruchaga, C., Xiong, C., Morris, J. C., & Benzinger, T. L. S. (2024). Predicting cognitive decline: Which is more useful, baseline amyloid levels or longitudinal change? NeuroImage: Clinical, 41, 103551. https://doi.org/10.1016/j.nicl.2023.103551","10.1016/j.nicl.2023.103551",2023-12-15
"Lee, J. S., Batchelder, A. W., Stanton, A. M., Westphal, L., Klevens, R. M., Mayer, K. H., & O’Cleirigh, C. (2023). Structural vulnerabilities and PrEP awareness among Boston heterosexuals and people who inject drugs at risk for HIV: findings from 2018 to 2019 cycles from the Boston, MA site of the NHBS. AIDS Care, 1–11. https://doi.org/10.1080/09540121.2023.2288646","10.1080/09540121.2023.2288646",2023-12-13
"Pugazenthi, S., Price, M., De La Vega Gomar, R., Kruchko, C., Waite, K. A., Barnholtz-Sloan, J. S., Walsh, K. M., Kim, A. H., & Ostrom, Q. T. (2023). Association of county-level socioeconomic status with meningioma incidence and outcomes. Neuro-Oncology. https://doi.org/10.1093/neuonc/noad223","10.1093/neuonc/noad223",2023-12-13
"Fischer, M., Lövdén, M., Nilsson, T., & Seblova, D. (2023). Very Early-Life Risk Factors for Developing Dementia: Evidence From Full Population Registers. The Journals of Gerontology: Series B, 78(12), 2131–2140. https://doi.org/10.1093/geronb/gbad142","10.1093/geronb/gbad142",2023-12-06
"Agarwal, N., DiGiorgio, A., Michalopoulos, G. D., Letchuman, V., Chan, A. K., Shabani, S., Lavadi, R. S., Lu, D. C., Wang, M. Y., Haid, R. W., Knightly, J. J., Sherrod, B. A., Gottfried, O. N., Shaffrey, C. I., Goldberg, J. L., Virk, M. S., Hussain, I., Glassman, S. D., Shaffrey, M. E., … Mummaneni, P. V. (2023). Impact of Educational Background on Preoperative Disease Severity and Postoperative Outcomes Among Patients With Cervical Spondylotic Myelopathy. Clinical Spine Surgery: A Spine Publication. https://doi.org/10.1097/bsd.0000000000001557","10.1097/BSD.0000000000001557",2023-12-05
