"Reference","doi","Date"
"Gill, R., Karim, M. E., Puyat, J. H., Guhn, M., Janus, M., Gagné Petteni, M., Forer, B., & Gadermann, A. M. (2024). Childhood poverty and school readiness: Differences by poverty type and immigration background. SSM - Population Health, 25, 101563. https://doi.org/10.1016/j.ssmph.2023.101563","10.1016/j.ssmph.2023.101563",2024-03-01
"Ober, A. J., Dopp, A. R., Clingan, S. E., Curtis, M. E., Lin, C., Calhoun, S., Larkins, S., Black, M., Hanano, M., Osterhage, K. P., Baldwin, L.-M., Saxon, A. J., Hichborn, E. G., Marsch, L. A., Mooney, L. J., & Hser, Y.-I. (2024). Stakeholder perspectives on a telemedicine referral and coordination model to expand medication treatment for opioid use disorder in rural primary care clinics. Journal of Substance Use and Addiction Treatment, 156, 209194. https://doi.org/10.1016/j.josat.2023.209194","10.1016/j.josat.2023.209194",2024-01-01
"Brown, R. M., Dietze, P., & Craig, M. A. (2023). Highlighting health consequences of racial disparities sparks support for action. Science, 382(6677), 1394–1398. https://doi.org/10.1126/science.adh4262","10.1126/science.adh4262",2023-12-22
"Varga, Z., Andorka, C., Pataki, M., Meder, U., Szakmar, E., Szabo, A. J., Szabo, M., & Jermendy, A. (2023). Higher parental education was associated with good cognitive outcomes in infants with hypoxic‐ischaemic encephalopathy. Acta Paediatrica. Portico. https://doi.org/10.1111/apa.17058","10.1111/apa.17058",2023-12-18
"Mesquita, A., Costa, R., Dikmen-Yildiz, P., Faria, S., Silvestrini, G., Mateus, V., Vousoura, E., Wilson, C. A., Felice, E., Ajaz, E., Hadjigeorgiou, E., Hancheva, C., Contreras-García, Y., Domínguez-Salas, S., Motrico, E., Soares, I., & Ayers, S. (2023). Changes to women’s childbirth plans during the COVID-19 pandemic and posttraumatic stress symptoms: a cross-national study. Archives of Women’s Mental Health. https://doi.org/10.1007/s00737-023-01403-3","10.1007/s00737-023-01403-3",2023-12-16
"Fioroni Ribeiro da Silva, C., Greco, A. L. R., Castilho Cabrera Santos, D., Sgandurra, G., & Tudella, E. (2023). Association between Contextual Factors and Affordances in the Home Environment of Infants Exposed to Poverty. Children, 10(12), 1932. https://doi.org/10.3390/children10121932","10.3390/children10121932",2023-12-15
"Szlamka, Z., Ahmed, I., Genovesi, E., Kinfe, M., Hoekstra, R. A., & Hanlon, C. (2023). Conceptualising the empowerment of caregivers raising children with developmental disabilities in Ethiopia: a qualitative study. BMC Health Services Research, 23(1). https://doi.org/10.1186/s12913-023-10428-4","10.1186/s12913-023-10428-4",2023-12-15
"Straka, B. C., Albuja, A., Leer, J., Brauher, K., & Gaither, S. E. (2023). The rich get richer? Children’s reasoning about socioeconomic status                        predicts inclusion and resource bias. Developmental Psychology. https://doi.org/10.1037/dev0001655","10.1037/dev0001655",2023-12-14
"Lund, C., Jordans, M. J. D., Garman, E., Araya, R., Avendano, M., Bauer, A., Bahure, V., Dua, T., Eleftheriou, G., Evans-Lacko, S., García Rodríguez, J. F., Gautam, K., Gevonden, M., Hessel, P., Kohrt, B. A., Krabbendam, L., Luitel, N. P., Roy, S., Seifert Bonifaz, M., … Yarrow, P. (2023). Strengthening self-regulation and reducing poverty to prevent adolescent depression and anxiety: Rationale, approach and methods of the ALIVE interdisciplinary research collaboration in Colombia, Nepal and South Africa. Epidemiology and Psychiatric Sciences, 32. https://doi.org/10.1017/s2045796023000811","10.1017/S2045796023000811",2023-12-13
"Love, S.-A. M., Collins, J. M., Anthony, K. M., Buchheit, S. F., Butler, E. N., Bey, G. S., Gondalia, R., Hayden, K. M., Zannas, A. S., Bick, A. G., Manson, J. E., Desai, P. M., Natarajan, P., Bhattacharya, R., Jaiswal, S., Barac, A., Reiner, A., Kooperberg, C., Stewart, J. D., & Whitsel, E. A. (2023). Individual and Neighborhood-level Socioeconomic Status and Somatic Mutations Associated With Increased Risk of Cardiovascular Disease and Mortality: A Cross-Sectional Analysis in the Women’s Health Initiative. Women’s Health Issues. https://doi.org/10.1016/j.whi.2023.10.005","10.1016/j.whi.2023.10.005",2023-12-06
"Mihretu, A., Fekadu, W., Alemu, A. A., Amare, B., Assefa, D., Misganaw, E., Ayele, A., Esleman, O., Assefa, Z., Alem, A., Thornicroft, G., & Hanlon, C. (2023). Impact of the COVID-19 pandemic on mental health care and people with mental health conditions in Ethiopia: the MASC mixed-methods study. International Journal of Mental Health Systems, 17(1). https://doi.org/10.1186/s13033-023-00612-8","10.1186/s13033-023-00612-8",2023-12-06
